"name","cmc","type","color","rarity","image URL","image Back URL","custom"
"Bantha Herd","3","Creature — Beast","W","rare","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Bantha Herd.jpg","","TRUE"
"Bathe in Bacta","2","Instant","G","common","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Bathe in Bacta.jpg","","TRUE"
"Battle Tactics","4","Sorcery","W","uncommon","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Battle Tactics.jpg","","TRUE"
"Bib Fortuna","2","Legendary Creature — Twi'lek Advisor","B","rare","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Bib Fortuna.jpg","","TRUE"
"Black Market Dealer","3","Creature — Human Rogue","B","uncommon","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Black Market Dealer.jpg","","TRUE"
"Blind Worship","5","Enchantment","RGW","rare","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Blind Worship.jpg","","TRUE"
"Boba Fett","5","Legendary Creature — Human Hunter","BRG","mythic","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Boba Fett.jpg","","TRUE"
"Bossk","3","Legendary Creature — Trandoshan Hunter","G","rare","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Bossk.jpg","","TRUE"
"Bounty Collector","2","Creature — Quarren Hunter","G","common","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Bounty Collector.jpg","","TRUE"
"Bounty Sniper","2","Creature — Gand Hunter","R","common","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Bounty Sniper.jpg","","TRUE"
"Bounty Spotter","2","Creature — Zabrak Hunter","B","common","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Bounty Spotter.jpg","","TRUE"
"Broker a Deal","2","Sorcery","RG","rare","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Broker a Deal.jpg","","TRUE"
"Bull Rancor","6","Creature — Beast","RGW","rare","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Bull Rancor.jpg","","TRUE"
"C-3PO and R2-D2","4","Legendary Artifact Creature — Droid","WU","rare","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/C-3PO and R2-D2.jpg","","TRUE"
"Cantina Band","1","Creature — Bith Citizen","W","common","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Cantina Band.jpg","","TRUE"
"Capture","3","Sorcery","R","common","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Capture.jpg","","TRUE"
"Frozen in Carbonite","2","Enchantment — Aura","U","uncommon","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Frozen in Carbonite.jpg","","TRUE"
"Chewbacca","5","Legendary Creature — Wookiee Warrior","RGW","rare","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Chewbacca.jpg","","TRUE"
"Chief Chirpa","3","Legendary Creature — Ewok Warrior","RGW","rare","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Chief Chirpa.jpg","","TRUE"
"Cloaking Device","2","Enchantment — Aura","U","uncommon","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Cloaking Device.jpg","","TRUE"
"Commander Cody","5","Legendary Creature — Human Trooper","WUBRG","rare","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Commander Cody.jpg","","TRUE"
"Condemn","1","Instant","W","uncommon","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Condemn.jpg","","TRUE"
"Crossfire","4","Instant","R","common","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Crossfire.jpg","","TRUE"
"Cruelty of the Sith","3","Instant","UBR","uncommon","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Cruelty of the Sith.jpg","","TRUE"
"Cunning Abduction","5","Sorcery","UB","rare","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Cunning Abduction.jpg","","TRUE"
"Dark Apprenticeship","2","Enchantment","R","uncommon","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Dark Apprenticeship.jpg","","TRUE"
"Dark Trooper","3","Creature — Human Trooper","B","uncommon","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Dark Trooper.jpg","","TRUE"
"Darth Maul","3","Legendary Creature — Dathomirian Sith","BR","rare","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Darth Maul.jpg","","TRUE"
"Chancellor Palpatine","2","Legendary Creature — Human Advisor","UB","mythic","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Chancellor Palpatine.jpg","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Chancellor Palpatine-Darth Sidious Emperor.jpg","TRUE"
"Dooku, Count of Serenno","3","Legendary Creature — Human Sith Noble","UB","rare","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Dooku Count of Serenno.jpg","","TRUE"
"DT Sentry Droid","5","Artifact Creature — Droid Soldier","WUB","uncommon","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/DT Sentry Droid.jpg","","TRUE"
"Cave Trooper","2","Creature — Human Trooper","B","uncommon","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Cave Trooper.jpg","","TRUE"
"Deploy the Troopers","5","Instant","W","uncommon","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Deploy the Troopers.jpg","","TRUE"
"Sai Tok","2","Instant","B","common","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Sai Tok.jpg","","TRUE"
"Droid Commando","3","Artifact Creature — Droid Soldier","B","uncommon","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Droid Commando.jpg","","TRUE"
"Droid Painsmith","2","Artifact Creature — Droid Artificer","B","uncommon","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Droid Painsmith.jpg","","TRUE"
"Geonosian Factory","0","Land","WUB","uncommon","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Geonosian Factory.jpg",,"TRUE"
"Castle Serenno","0","Land","WUB","rare","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Castle Serenno.jpg",,"TRUE"
"Droideka","3","Artifact Creature — Droid Knight","W","uncommon","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Droideka.jpg","","TRUE"
"Drone Holocron","3","Artifact",,"uncommon","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Drone Holocron.jpg","","TRUE"
"Escape Pod","1","Instant","W","common","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Escape Pod.jpg","","TRUE"
"Ewok Ambush","3","Instant","G","common","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Ewok Ambush.jpg","","TRUE"
"Ewok Firedancers","4","Creature — Ewok Shaman","G","common","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Ewok Firedancers.jpg","","TRUE"
"Bright Tree Village","0","Land","RGW","rare","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Bright Tree Village.jpg",,"TRUE"
"Exogorth","7","Creature — Wurm","G","rare","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Exogorth.jpg","","TRUE"
"Ferocity of the Underworld","3","Instant","BRG","uncommon","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Ferocity of the Underworld.jpg","","TRUE"
"Flames of Remembrance","1","Enchantment","R","rare","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Flames of Remembrance.jpg","","TRUE"
"Force Repulse","2","Instant","U","common","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Force Repulse.jpg","","TRUE"
"Force Drain","3","Instant","B","uncommon","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Force Drain.jpg","","TRUE"
"Shatterpoint","3","Instant","W","common","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Shatterpoint.jpg","","TRUE"
"Unlimited Power","2","Sorcery","R","rare","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Unlimited Power.jpg","","TRUE"
"Jedi Seeker","5","Creature - Human Jedi","GWU","uncommon","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Jedi Seeker.jpg","","TRUE"
"Force Pull","2","Sorcery","G","common","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Force Pull.jpg","","TRUE"
"Force Push","3","Instant","U","uncommon","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Force Push.jpg","","TRUE"
"Jedi Reflexes","2","Instant","W","common","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Jedi Reflexes.jpg","","TRUE"
"Force Scream","3","Sorcery","R","uncommon","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Force Scream.jpg","","TRUE"
"Force Spark","1","Instant","R","uncommon","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Force Spark.jpg","","TRUE"
"Fulfill Contract","3","Instant","B","common","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Fulfill Contract.jpg","","TRUE"
"Gamorrean Jailer","1","Creature — Gamorrean Warrior","R","common","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Gamorrean Jailer.jpg","","TRUE"
"General Grievous","3","Legendary Artifact Creature — Kaleesh Warrior","WUB","mythic","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/General Grievous.jpg","","TRUE"
"Gifted Initiate","4","Creature — Rodian Jedi","W","common","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Gifted Initiate.jpg","","TRUE"
"Grand Moff Tarkin","4","Legendary Creature — Human Advisor","B","rare","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Grand Moff Tarkin.jpg","","TRUE"
"Greater Krayt Dragon","7","Creature — Dragon Beast","RGW","mythic","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Greater Krayt Dragon.jpg","","TRUE"
"Greedo","3","Legendary Creature — Rodian Hunter","BRG","rare","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Greedo.jpg","","TRUE"
"Slavering Gundark","1","Creature — Beast","R","common","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Slavering Gundark.jpg","","TRUE"
"Gungan Captain","3","Creature — Gungan Warrior","U","common","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Gungan Captain.jpg","","TRUE"
"Han Solo","4","Legendary Creature — Human Rogue","R","rare","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Han Solo.jpg","","TRUE"
"Head Hunting","2","Instant","B","common","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Head Hunting.jpg","","TRUE"
"Heavy Trooper","2","Creature — Human Trooper","W","common","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Heavy Trooper.jpg","","TRUE"
"Hot Pursuit","3","Enchantment","BRG","rare","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Hot Pursuit.jpg","","TRUE"
"Rapacious Dragonsnake","4","Creature — Snake Beast","GW","common","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Rapacious Dragonsnake.jpg","","TRUE"
"Hunt to Extinction","3","Sorcery","BRG","rare","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Hunt to Extinction.jpg","","TRUE"
"Hutt Underboss","3","Creature — Hutt Rogue","G","uncommon","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Hutt Underboss.jpg","","TRUE"
"Jabba's Palace","0","Land","BRG","rare","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Jabbas Palace.jpg",,"TRUE"
"IG-88B","4","Legendary Artifact Creature — Droid Hunter","B","rare","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/IG-88B.jpg","","TRUE"
"Images of the Past","2","Enchantment","GW","uncommon","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Images of the Past.jpg","","TRUE"
"Imperial Gunner","1","Creature — Human Soldier","R","common","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Imperial Gunner.jpg","","TRUE"
"Infamous Reputation","5","Enchantment","RG","rare","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Infamous Reputation.jpg","","TRUE"
"Insatiable Rakghoul","6","Creature — Zombie Mutant","B","common","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Insatiable Rakghoul.jpg","","TRUE"
"Interrogation","2","Sorcery","B","common","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Interrogation.jpg","","TRUE"
"Ion Cannon","2","Artifact Creature — Wall","W","common","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Ion Cannon.jpg","","TRUE"
"Iron Fist of the Empire","3","Enchantment","UBR","rare","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Iron Fist of the Empire.jpg","","TRUE"
"Devoted Initiate","3","Creature — Ithorian Jedi","G","common","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Devoted Initiate.jpg","","TRUE"
"Jabba the Hutt","5","Legendary Creature — Hutt Rogue","BRG","rare","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Jabba the Hutt.jpg","","TRUE"
"Jango Fett","2","Legendary Creature — Human Hunter","BR","rare","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Jango Fett.jpg","","TRUE"
"Jar Jar Binks","3","Legendary Creature — Gungan Coward","U","rare","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Jar Jar Binks.jpg","","TRUE"
"Jar'Kai Battle Stance","2","Instant","R","uncommon","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/JarKai Battle Stance.jpg","","TRUE"
"Jedi Healer","3","Creature — Mirialan Jedi","W","common","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Jedi Healer.jpg","","TRUE"
"Jedi Consular","4","Creature — Bothan Jedi","G","common","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Jedi Consular.jpg","","TRUE"
"Dantooine Enclave","0","Land","GWU","uncommon","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Dantooine Enclave.jpg",,"TRUE"
"Jedi Holocron","3","Artifact",,"uncommon","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Jedi Holocron.jpg","","TRUE"
"Jedi Inquirer","2","Creature — Human Jedi","W","uncommon","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Jedi Inquirer.jpg","","TRUE"
"Jedi Guardian","4","Creature — Chiss Jedi","W","common","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Jedi Guardian.jpg","","TRUE"
"Anakin Skywalker","3","Creature — Human Jedi","GWU","rare","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Anakin Skywalker.jpg","","TRUE"
"Jedi Mind Trick","7","Sorcery","U","rare","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Jedi Mind Trick.jpg","","TRUE"
"Jedi Sentinel","3","Creature — Human Jedi","GWU","uncommon","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Jedi Sentinel.jpg","","TRUE"
"Jedi Starfighter","3","Artifact Creature — Jedi Starship","W","uncommon","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Jedi Starfighter.jpg","","TRUE"
"Jedi Grand Temple","0","Land","GWU","rare","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Jedi Grand Temple.jpg",,"TRUE"
"Jedi Training","1","Enchantment","U","uncommon","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Jedi Training.jpg","","TRUE"
"Jump Trooper","3","Creature — Human Trooper","U","uncommon","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Jump Trooper.jpg","","TRUE"
"KX Enforcer Squad","5","Artifact Creature — Droid Warrior","B","common","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/KX Enforcer Squad.jpg","","TRUE"
"Petranaki Arena","0","Land","RGW","uncommon","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Petranaki Arena.jpg",,"TRUE"
"Cloning Facility","0","Land","WUBRG","rare","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Cloning Facility.jpg",,"TRUE"
"Ki-Adi-Mundi","5","Legendary Creature — Cerean Jedi","G","rare","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Ki-Adi-Mundi.jpg","","TRUE"
"LAAT Gunship","4","Artifact Creature — Starship","W","uncommon","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/LAAT Gunship.jpg","","TRUE"
"Lando Calrissian","4","Legendary Creature — Human Pilot","W","rare","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Lando Calrissian.jpg","","TRUE"
"Legacy of the Beloved","3","Sorcery","G","rare","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Legacy of the Beloved.jpg","","TRUE"
"Lightning Strike","2","Instant","R","common","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Lightning Strike.jpg","","TRUE"
"Lightsaber","1","Artifact — Equipment",,"uncommon","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Lightsaber.jpg","","TRUE"
"Loyal Tauntaun","4","Creature — Beast","W","common","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Loyal Tauntaun.jpg","","TRUE"
"Luke, Rebellious Youth","1","Legendary Creature — Human Peasant","W","mythic","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Luke Rebellious Youth.jpg","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Luke Rebellious Youth-Luke Skywalker.jpg","TRUE"
"Mace Windu","4","Legendary Creature — Human Jedi","U","rare","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Mace Windu.jpg","","TRUE"
"Maintenance Droid","4","Artifact Creature — Droid Artificer","WU","common","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Maintenance Droid.jpg","","TRUE"
"Maintenance Hangar","2","Enchantment","W","uncommon","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Maintenance Hangar.jpg","","TRUE"
"Mantellian Savrip","5","Creature — Mantellian Berserker","G","uncommon","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Mantellian Savrip.jpg","","TRUE"
"March of the Droids","5","Sorcery","WU","rare","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/March of the Droids.jpg","","TRUE"
"Maudlin Instigator","3","Creature — Azumel Rogue","G","common","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Maudlin Instigator.jpg","","TRUE"
"Might of the Wild","3","Instant","RGW","uncommon","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Might of the Wild.jpg","","TRUE"
"Millenium Falcon","5","Legendary Artifact Creature — Starship","G","rare","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Millenium Falcon.jpg","","TRUE"
"Miraculous Recovery","5","Instant","W","uncommon","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Miraculous Recovery.jpg","","TRUE"
"Moisture Farm","0","Land","WUBRG","uncommon","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Moisture Farm.jpg",,"TRUE"
"Mon Calamari Cruiser","5","Artifact Creature — Starship","U","uncommon","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Mon Calamari Cruiser.jpg","","TRUE"
"Keen Initiate","4","Creature — Mon-Calamari Jedi","U","common","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Keen Initiate.jpg","","TRUE"
"N-1 Starfighter","3","Artifact Creature — Starship","WU","uncommon","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/N-1 Starfighter.jpg","","TRUE"
"Natural Navigation","2","Enchantment - Aura","G","common","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Natural Navigation.jpg","","TRUE"
"Nebulon-B Frigate","5","Artifact Creature — Starship","W","common","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Nebulon-B Frigate.jpg","","TRUE"
"Neophyte Hateflayer","1","Creature — Human Sith","B","common","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Neophyte Hateflayer.jpg","","TRUE"
"Nerf Herder","2","Creature — Human Peasant","G","uncommon","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Nerf Herder.jpg","","TRUE"
"Nexu Stalker","2","Creature — Beast","G","uncommon","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Nexu Stalker.jpg","","TRUE"
"No Contest","2","Sorcery","G","common","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/No Contest.jpg","","TRUE"
"Novice Bounty Hunter","2","Creature — Human Hunter","R","common","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Novice Bounty Hunter.jpg","","TRUE"
"Nute Gunray","3","Legendary Creature — Neimoidian Advisor","WUB","rare","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Nute Gunray.jpg","","TRUE"
"Obi-Wan Kenobi","4","Legendary Creature — Human Jedi","WU","rare","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Obi-Wan Kenobi.jpg","","TRUE"
"Open Season","2","Enchantment","B","uncommon","https://raw.githubusercontent.com/triggrhappy0/swtg2025/refs/heads/main/Cards/jpgs/Open Season.jpg","","TRUE"
